param,param_value,mux_type,k_min,M,density,rep,N,avg_skr,avg_qber,avg_fidelity,avg_ent_rate,reachability
P_BSM,0.1,no_mux,100,1,1.0,0,1000,30.984794757153015,0.05421022672742098,0.9186846599088686,97.0609183121582,0.9990170170170171
P_BSM,0.2285714285714286,no_mux,100,1,1.0,0,1000,60.250854362437586,0.05452766632129872,0.9182085005180519,207.87906261079354,0.9986526526526527
P_BSM,0.3571428571428572,no_mux,100,1,1.0,0,1000,93.29283189581581,0.055150555600239244,0.9172741665996411,343.2297742834724,0.9979399399399399
P_BSM,0.48571428571428577,no_mux,100,1,1.0,0,1000,139.4273455577248,0.05445852665029639,0.9183122100245554,533.8077077153903,0.9987467467467468
P_BSM,0.6142857142857143,no_mux,100,1,1.0,0,1000,187.05276052224218,0.054903326676006704,0.91764500998599,747.0856762173939,0.9988028028028028
P_BSM,0.7428571428571429,no_mux,100,1,1.0,0,1000,248.6239103969543,0.054261925846486994,0.9186071112302695,1013.5920301735392,0.9985665665665666
P_BSM,0.8714285714285716,no_mux,100,1,1.0,0,1000,308.040012366503,0.05428128039986378,0.9185780794002043,1291.0772636414395,0.9987847847847848
P_BSM,1.0,no_mux,100,1,1.0,0,1000,370.494735313808,0.054970221035272535,0.9175446684470911,1606.9968563261627,0.9982662662662662
T_coh,0.01,no_mux,100,1,1.0,0,1000,284.23104436580945,0.07114561396717786,0.8932815790492331,1583.7825943694477,0.9587907907907908
T_coh,0.02682695795279726,no_mux,100,1,1.0,0,1000,345.2774435413256,0.05884826882305372,0.9117275967654195,1582.8134137442378,0.9975175175175175
T_coh,0.07196856730011521,no_mux,100,1,1.0,0,1000,377.93747097221865,0.053505237327893564,0.9197421440081597,1602.2581586546446,0.9989089089089089
T_coh,0.19306977288832497,no_mux,100,1,1.0,0,1000,386.1276637875007,0.05206725908270814,0.9218991113759377,1604.6568505190196,0.9998338338338338
T_coh,0.517947467923121,no_mux,100,1,1.0,0,1000,398.47423980983706,0.05068704875155886,0.9239694268726617,1622.0919160548353,0.9998838838838839
T_coh,1.3894954943731375,no_mux,100,1,1.0,0,1000,404.8339324905801,0.050063421830018835,0.9249048672549717,1630.8380188958895,0.9998978978978978
T_coh,3.727593720314938,no_mux,100,1,1.0,0,1000,403.55804528630483,0.05020158314538958,0.9246976252819156,1630.6507857489332,0.9999439439439439
T_coh,10.0,no_mux,100,1,1.0,0,1000,394.46810790806586,0.05073634289504086,0.9238954856574388,1607.3432453596538,0.9998978978978978
eta_total,0.03,no_mux,100,1,1.0,0,1000,0.0,,,0.0,0.0
eta_total,0.09714285714285714,no_mux,100,1,1.0,0,1000,9.89891920051044,0.10731966235138277,0.8390205064729258,104.6204174213164,0.5245985985985986
eta_total,0.16428571428571428,no_mux,100,1,1.0,0,1000,55.45987563366307,0.07176880428670811,0.8923467935699377,312.5342653036611,0.9566166166166166
eta_total,0.23142857142857143,no_mux,100,1,1.0,0,1000,133.1005393272999,0.06120737507465514,0.9081889373880173,632.3279100910352,0.9942042042042042
eta_total,0.2985714285714286,no_mux,100,1,1.0,0,1000,232.6788498488251,0.05736874812312162,0.9139468778153176,1045.8159779969483,0.9984504504504504
eta_total,0.36571428571428577,no_mux,100,1,1.0,0,1000,369.05883425872844,0.05459046290747137,0.918114305638793,1590.3189711632936,0.9986366366366366
eta_total,0.43285714285714283,no_mux,100,1,1.0,0,1000,516.9553268270802,0.05395683410775658,0.9190647488383651,2208.182265911951,0.9985665665665666
eta_total,0.5,no_mux,100,1,1.0,0,1000,722.8514765055808,0.052250060453686936,0.9216249093194696,3010.8360572809256,0.9996396396396396
alpha,0.14,no_mux,100,1,1.0,0,1000,437.74514568671276,0.05408756439371299,0.9188686534094306,1873.436519064165,0.9985465465465465
alpha,0.15142857142857144,no_mux,100,1,1.0,0,1000,416.6680232939555,0.05423577023360321,0.9186463446495952,1791.9620260206498,0.9987767767767768
alpha,0.16285714285714287,no_mux,100,1,1.0,0,1000,406.28676335832296,0.05405764437455229,0.9189135334381715,1736.848700587185,0.9985705705705705
alpha,0.1742857142857143,no_mux,100,1,1.0,0,1000,381.4194289282153,0.0544953962457278,0.9182569056314084,1641.0822275579676,0.9980700700700701
alpha,0.18571428571428572,no_mux,100,1,1.0,0,1000,357.5326844560875,0.05538467997097266,0.9169229800435409,1556.3964625070407,0.9982222222222222
alpha,0.19714285714285715,no_mux,100,1,1.0,0,1000,342.83273092962327,0.05500126295990946,0.9174981055601359,1485.3860019362057,0.9982322322322322
alpha,0.20857142857142857,no_mux,100,1,1.0,0,1000,332.8555131600574,0.055280251115049146,0.9170796233274262,1443.0173800762852,0.9985925925925926
alpha,0.22,no_mux,100,1,1.0,0,1000,307.9099298815114,0.05626252068813924,0.9156062189677912,1355.8807227425343,0.9980880880880881
V,0.8,no_mux,100,1,1.0,0,1000,4.350795868353851,0.18178661607235624,0.7273200758914656,1295.3231705667195,0.004038038038038038
V,0.8271428571428572,no_mux,100,1,1.0,0,1000,5.695016828370479,0.16076803649774893,0.7588479452533766,1345.2282929777903,0.10721921921921922
V,0.8542857142857143,no_mux,100,1,1.0,0,1000,32.59020832094931,0.14065309610494234,0.7890203558425865,1375.4035998178326,0.2295955955955956
V,0.8814285714285715,no_mux,100,1,1.0,0,1000,67.12174343560127,0.11664181483084426,0.8250372777537336,1446.2434946490084,0.2399159159159159
V,0.9085714285714286,no_mux,100,1,1.0,0,1000,157.40351083698934,0.09260030323305145,0.8610995451504228,1524.0911332083444,0.7067327327327327
V,0.9357142857142857,no_mux,100,1,1.0,0,1000,287.15311586227955,0.06773679593534725,0.8983948060969791,1575.4671935663323,0.9881981981981982
V,0.9628571428571429,no_mux,100,1,1.0,0,1000,454.55467027941063,0.04264907220355936,0.936026391694661,1623.7297779667995,1.0
V,0.99,no_mux,100,1,1.0,0,1000,683.2282156212585,0.015274779742552366,0.9770878303861715,1687.4219919830277,1.0
P_BSM,0.1,no_mux,100,1,1.0,1,1000,22.852716018797302,0.06426505984822437,0.9036024102276635,69.16530956608113,0.9781061061061062
P_BSM,0.2285714285714286,no_mux,100,1,1.0,1,1000,42.007614592545714,0.06403618512603329,0.90394572231095,145.26506434060695,0.9780920920920921
P_BSM,0.3571428571428572,no_mux,100,1,1.0,1,1000,68.91153457673234,0.06377144949155474,0.9043428257626679,261.7139473969354,0.9817197197197197
P_BSM,0.48571428571428577,no_mux,100,1,1.0,1,1000,102.61484530219859,0.06381545778616593,0.9042768133207512,419.78658546565975,0.9824684684684685
P_BSM,0.6142857142857143,no_mux,100,1,1.0,1,1000,142.4149960844379,0.06360791412010236,0.9045881288198464,622.5546947057352,0.9833473473473473
P_BSM,0.7428571428571429,no_mux,100,1,1.0,1,1000,190.86160166153672,0.06363624030843724,0.904545639537344,875.867985002958,0.9825965965965966
P_BSM,0.8714285714285716,no_mux,100,1,1.0,1,1000,249.4847343313109,0.06326391070474659,0.9051041339428801,1184.5155279743442,0.982022022022022
P_BSM,1.0,no_mux,100,1,1.0,1,1000,307.30251538389564,0.06361130530497879,0.9045830420425317,1525.2036129398484,0.9806446446446446
T_coh,0.01,no_mux,100,1,1.0,1,1000,214.6835778665392,0.0821850616117549,0.8767224075823676,1478.3271342139049,0.881995995995996
T_coh,0.02682695795279726,no_mux,100,1,1.0,1,1000,286.1349289875748,0.0679309662509488,0.8981035506235768,1520.020286725668,0.9767527527527528
T_coh,0.07196856730011521,no_mux,100,1,1.0,1,1000,312.55688824252803,0.062441473290497464,0.9063377900642539,1520.428546035842,0.9819179179179179
T_coh,0.19306977288832497,no_mux,100,1,1.0,1,1000,324.3406657419828,0.060708229427922186,0.9089376558581167,1530.5864809793075,0.9948768768768769
T_coh,0.517947467923121,no_mux,100,1,1.0,1,1000,333.4712643702033,0.0594000603238256,0.9108999095142617,1538.5295243489195,0.9944304304304304
T_coh,1.3894954943731375,no_mux,100,1,1.0,1,1000,326.4927023910386,0.05983806926080641,0.9102428961087903,1523.8704365732901,0.9942402402402403
T_coh,3.727593720314938,no_mux,100,1,1.0,1,1000,329.40314696113796,0.059313079969496516,0.9110303800457553,1525.957575278224,0.9955295295295296
T_coh,10.0,no_mux,100,1,1.0,1,1000,332.22601079419957,0.059213525423878456,0.9111797118641823,1531.1560213285486,0.994970970970971
eta_total,0.03,no_mux,100,1,1.0,1,1000,0.0,,,0.0,0.0
