mux_type,k_min,density,rep,N,N_gcc,giant_fraction
no_mux,10.0,1e-05,0,1000,8.0,0.008
no_mux,100.0,1e-05,0,1000,5.0,0.005
no_mux,1000.0,1e-05,0,1000,3.0,0.003
no_mux,10.0,1e-05,1,1000,9.0,0.009
no_mux,100.0,1e-05,1,1000,5.0,0.005
no_mux,1000.0,1e-05,1,1000,4.0,0.004
no_mux,10.0,1e-05,2,1000,8.0,0.008
no_mux,100.0,1e-05,2,1000,4.0,0.004
no_mux,1000.0,1e-05,2,1000,3.0,0.003
no_mux,10.0,1e-05,3,1000,8.0,0.008
no_mux,100.0,1e-05,3,1000,7.0,0.007
no_mux,1000.0,1e-05,3,1000,3.0,0.003
no_mux,10.0,1e-05,4,1000,7.0,0.007
no_mux,100.0,1e-05,4,1000,5.0,0.005
no_mux,1000.0,1e-05,4,1000,4.0,0.004
no_mux,10.0,1e-05,5,1000,8.0,0.008
no_mux,100.0,1e-05,5,1000,5.0,0.005
no_mux,1000.0,1e-05,5,1000,3.0,0.003
no_mux,10.0,1e-05,6,1000,8.0,0.008
no_mux,100.0,1e-05,6,1000,5.0,0.005
no_mux,1000.0,1e-05,6,1000,3.0,0.003
no_mux,10.0,1e-05,7,1000,10.0,0.01
no_mux,100.0,1e-05,7,1000,6.0,0.006
no_mux,1000.0,1e-05,7,1000,3.0,0.003
no_mux,10.0,1e-05,8,1000,9.0,0.009
no_mux,100.0,1e-05,8,1000,5.0,0.005
no_mux,1000.0,1e-05,8,1000,3.0,0.003
no_mux,10.0,1e-05,9,1000,8.0,0.008
no_mux,100.0,1e-05,9,1000,5.0,0.005
no_mux,1000.0,1e-05,9,1000,3.0,0.003
no_mux,10.0,2.340347319320716e-05,0,1000,15.0,0.015
no_mux,100.0,2.340347319320716e-05,0,1000,9.0,0.009
no_mux,1000.0,2.340347319320716e-05,0,1000,5.0,0.005
no_mux,10.0,2.340347319320716e-05,1,1000,10.0,0.01
no_mux,100.0,2.340347319320716e-05,1,1000,10.0,0.01
no_mux,1000.0,2.340347319320716e-05,1,1000,5.0,0.005
no_mux,10.0,2.340347319320716e-05,2,1000,15.0,0.015
no_mux,100.0,2.340347319320716e-05,2,1000,9.0,0.009
no_mux,1000.0,2.340347319320716e-05,2,1000,4.0,0.004
no_mux,10.0,2.340347319320716e-05,3,1000,18.0,0.018
no_mux,100.0,2.340347319320716e-05,3,1000,9.0,0.009
no_mux,1000.0,2.340347319320716e-05,3,1000,5.0,0.005
no_mux,10.0,2.340347319320716e-05,4,1000,10.0,0.01
no_mux,100.0,2.340347319320716e-05,4,1000,7.0,0.007
no_mux,1000.0,2.340347319320716e-05,4,1000,4.0,0.004
no_mux,10.0,2.340347319320716e-05,5,1000,13.0,0.013
no_mux,100.0,2.340347319320716e-05,5,1000,6.0,0.006
no_mux,1000.0,2.340347319320716e-05,5,1000,4.0,0.004
no_mux,10.0,2.340347319320716e-05,6,1000,13.0,0.013
no_mux,100.0,2.340347319320716e-05,6,1000,7.0,0.007
no_mux,1000.0,2.340347319320716e-05,6,1000,4.0,0.004
no_mux,10.0,2.340347319320716e-05,7,1000,14.0,0.014
no_mux,100.0,2.340347319320716e-05,7,1000,6.0,0.006
no_mux,1000.0,2.340347319320716e-05,7,1000,5.0,0.005
no_mux,10.0,2.340347319320716e-05,8,1000,13.0,0.013
no_mux,100.0,2.340347319320716e-05,8,1000,6.0,0.006
no_mux,1000.0,2.340347319320716e-05,8,1000,5.0,0.005
no_mux,10.0,2.340347319320716e-05,9,1000,13.0,0.013
no_mux,100.0,2.340347319320716e-05,9,1000,7.0,0.007
no_mux,1000.0,2.340347319320716e-05,9,1000,4.0,0.004
no_mux,10.0,5.477225575051662e-05,0,1000,15.0,0.015
no_mux,100.0,5.477225575051662e-05,0,1000,10.0,0.01
no_mux,1000.0,5.477225575051662e-05,0,1000,6.0,0.006
no_mux,10.0,5.477225575051662e-05,1,1000,28.0,0.028
no_mux,100.0,5.477225575051662e-05,1,1000,11.0,0.011
no_mux,1000.0,5.477225575051662e-05,1,1000,7.0,0.007
no_mux,10.0,5.477225575051662e-05,2,1000,17.0,0.017
no_mux,100.0,5.477225575051662e-05,2,1000,11.0,0.011
no_mux,1000.0,5.477225575051662e-05,2,1000,4.0,0.004
no_mux,10.0,5.477225575051662e-05,3,1000,21.0,0.021
no_mux,100.0,5.477225575051662e-05,3,1000,14.0,0.014
no_mux,1000.0,5.477225575051662e-05,3,1000,6.0,0.006
no_mux,10.0,5.477225575051662e-05,4,1000,32.0,0.032
no_mux,100.0,5.477225575051662e-05,4,1000,11.0,0.011
no_mux,1000.0,5.477225575051662e-05,4,1000,5.0,0.005
no_mux,10.0,5.477225575051662e-05,5,1000,39.0,0.039
no_mux,100.0,5.477225575051662e-05,5,1000,17.0,0.017
no_mux,1000.0,5.477225575051662e-05,5,1000,6.0,0.006
no_mux,10.0,5.477225575051662e-05,6,1000,32.0,0.032
no_mux,100.0,5.477225575051662e-05,6,1000,17.0,0.017
no_mux,1000.0,5.477225575051662e-05,6,1000,9.0,0.009
no_mux,10.0,5.477225575051662e-05,7,1000,23.0,0.023
no_mux,100.0,5.477225575051662e-05,7,1000,15.0,0.015
no_mux,1000.0,5.477225575051662e-05,7,1000,7.0,0.007
no_mux,10.0,5.477225575051662e-05,8,1000,21.0,0.021
no_mux,100.0,5.477225575051662e-05,8,1000,15.0,0.015
no_mux,1000.0,5.477225575051662e-05,8,1000,5.0,0.005
no_mux,10.0,5.477225575051662e-05,9,1000,23.0,0.023
no_mux,100.0,5.477225575051662e-05,9,1000,11.0,0.011
