mux_type,k_min,density,rep,N,N_gcc,giant_fraction
no_mux,100.0,0.00020000000000000004,0,1000,42.0,0.042
no_mux,100.0,0.00020000000000000004,1,1000,61.0,0.061
no_mux,100.0,0.00020000000000000004,2,1000,37.0,0.037
no_mux,100.0,0.00020000000000000004,3,1000,54.0,0.054
no_mux,100.0,0.00020000000000000004,4,1000,66.0,0.066
no_mux,100.0,0.00020000000000000004,5,1000,56.0,0.056
no_mux,100.0,0.00020000000000000004,6,1000,70.0,0.07
no_mux,100.0,0.00020000000000000004,7,1000,36.0,0.036
no_mux,100.0,0.00020000000000000004,8,1000,108.0,0.108
no_mux,100.0,0.00020000000000000004,9,1000,27.0,0.027
no_mux,100.0,0.00020000000000000004,10,1000,47.0,0.047
no_mux,100.0,0.00020000000000000004,11,1000,49.0,0.049
no_mux,100.0,0.00020000000000000004,12,1000,66.0,0.066
no_mux,100.0,0.00020000000000000004,13,1000,54.0,0.054
no_mux,100.0,0.00020000000000000004,14,1000,34.0,0.034
no_mux,100.0,0.00020000000000000004,15,1000,61.0,0.061
no_mux,100.0,0.00020000000000000004,16,1000,48.0,0.048
no_mux,100.0,0.00020000000000000004,17,1000,62.0,0.062
no_mux,100.0,0.00020000000000000004,18,1000,68.0,0.068
no_mux,100.0,0.00020000000000000004,19,1000,42.0,0.042
no_mux,100.0,0.00020000000000000004,20,1000,117.0,0.117
no_mux,100.0,0.00020000000000000004,21,1000,43.0,0.043
no_mux,100.0,0.00020000000000000004,22,1000,87.0,0.087
no_mux,100.0,0.00020000000000000004,23,1000,48.0,0.048
no_mux,100.0,0.00020000000000000004,24,1000,42.0,0.042
no_mux,100.0,0.00020000000000000004,25,1000,48.0,0.048
no_mux,100.0,0.00020000000000000004,26,1000,50.0,0.05
no_mux,100.0,0.00020000000000000004,27,1000,41.0,0.041
no_mux,100.0,0.00020000000000000004,28,1000,65.0,0.065
no_mux,100.0,0.00020000000000000004,29,1000,51.0,0.051
no_mux,100.0,0.00020000000000000004,30,1000,34.0,0.034
no_mux,100.0,0.00020000000000000004,31,1000,64.0,0.064
no_mux,100.0,0.00020000000000000004,32,1000,82.0,0.082
no_mux,100.0,0.00020000000000000004,33,1000,88.0,0.088
no_mux,100.0,0.00020000000000000004,34,1000,49.0,0.049
no_mux,100.0,0.00020000000000000004,35,1000,36.0,0.036
no_mux,100.0,0.00020000000000000004,36,1000,79.0,0.079
no_mux,100.0,0.00020000000000000004,37,1000,114.0,0.114
no_mux,100.0,0.00020000000000000004,38,1000,50.0,0.05
no_mux,100.0,0.00020000000000000004,39,1000,45.0,0.045
no_mux,100.0,0.00023330580791522347,0,1000,42.0,0.042
no_mux,100.0,0.00023330580791522347,1,1000,116.0,0.116
no_mux,100.0,0.00023330580791522347,2,1000,80.0,0.08
no_mux,100.0,0.00023330580791522347,3,1000,61.0,0.061
no_mux,100.0,0.00023330580791522347,4,1000,59.0,0.059
no_mux,100.0,0.00023330580791522347,5,1000,98.0,0.098
no_mux,100.0,0.00023330580791522347,6,1000,104.0,0.104
no_mux,100.0,0.00023330580791522347,7,1000,58.0,0.058
no_mux,100.0,0.00023330580791522347,8,1000,91.0,0.091
no_mux,100.0,0.00023330580791522347,9,1000,40.0,0.04
no_mux,100.0,0.00023330580791522347,10,1000,48.0,0.048
no_mux,100.0,0.00023330580791522347,11,1000,64.0,0.064
no_mux,100.0,0.00023330580791522347,12,1000,88.0,0.088
no_mux,100.0,0.00023330580791522347,13,1000,34.0,0.034
no_mux,100.0,0.00023330580791522347,14,1000,97.0,0.097
no_mux,100.0,0.00023330580791522347,15,1000,71.0,0.071
no_mux,100.0,0.00023330580791522347,16,1000,96.0,0.096
