mux_type,k_min,density,n_reps_used,mean_N_gcc,var_N_gcc,chi
mux20,1000.0,0.0002,40,90.3,1002.9099999999999,11.10642303433001
mux20,1000.0,0.0002333058079152,40,115.425,2368.544375,20.520202512453974
mux20,1000.0,0.0002721580000348,40,159.25,4849.6375,30.452982731554158
mux20,1000.0,0.0003174802103936,40,205.95,9674.4475,46.974739014323866
mux20,1000.0,0.0003703498849149,40,288.35,16360.0275,56.736700190740414
mux20,1000.0,0.0004320238955569,40,455.325,27041.969374999997,59.39047795530664
mux20,1000.0,0.0005039684199579,40,508.275,31838.899375,62.64108873149378
mux20,1000.0,0.0005878937969102,40,670.925,29126.369375000002,43.41225826284607
mux20,1000.0,0.0006857951862824,40,766.55,15513.997500000001,20.238728719587765
mux20,1000.0,0.0008,40,846.325,2536.6193749999998,2.997216642542758
no_mux,100.0,0.0002,40,58.025,453.374375,7.813431710469625
no_mux,100.0,0.0002333058079152,40,71.5,473.05,6.616083916083916
no_mux,100.0,0.0002721580000348,40,82.05,829.9975000000001,10.115752589884218
no_mux,100.0,0.0003174802103936,40,126.2,2891.0099999999998,22.908161648177494
no_mux,100.0,0.0003703498849149,40,160.65,3737.3274999999994,23.263787737317145
no_mux,100.0,0.0004320238955569,40,219.0,7222.1,32.977625570776254
no_mux,100.0,0.0005039684199579,40,340.625,17380.634375,51.02571559633028
no_mux,100.0,0.0005878937969102,40,421.225,28303.674375000002,67.19371921182267
no_mux,100.0,0.0006857951862824,40,552.025,35267.074375000004,63.88673407001495
no_mux,100.0,0.0008,40,693.05,19393.947500000002,27.983475218238226
