Scenario,Path (node ids),Hops,Lengths (km),Total Dist (km),Dijkstra Weight,Fidelity,SKR (bit/s),Selected?,Optimal SKR?
1: Baseline (90 km),"[0, 1]",1,[90.0],90.0,9.41497957396917,0.9749989288360996,92.46593842261039,True,False
1: Baseline (90 km),"[0, 2, 1]",2,"[45.0, 45.0]",90.0,13.448435634220814,0.9420206103325619,208.43247690271406,False,True
2: Short Detour,"[0, 2, 1]",2,"[50.0, 50.0]",100.0,14.04638269130054,0.9400071609958003,165.4474063844618,True,True
2: Short Detour,"[0, 3, 4, 1]",3,"[35.0, 35.0, 35.0]",105.0,18.37881228009205,0.9162382620033068,150.77514394139942,False,False
3: Massive Detour,"[0, 2, 1]",2,"[100.0, 100.0]",200.0,20.02585326209779,0.869315494640006,5.91626526904701,True,False
3: Massive Detour,"[0, 3, 4, 5, 1]",4,"[35.0, 35.0, 35.0, 35.0]",140.0,24.50508304012273,0.8886684389699384,70.77338216329447,False,True
4: Unpruned,"[0, 1]",1,[180.0],180.0,14.796503087686698,0.974993084040733,2.2179866450975076,True,False
4: Unpruned,"[0, 2, 3, 4, 1]",4,"[45.0, 45.0, 45.0, 45.0]",180.0,26.89687126844163,0.8804949020983979,39.052794501923614,False,True
4: Pruned (dmax <= 111),"[0, 1]",1,[180.0],180.0,inf,0.25,0.0,False,False
4: Pruned (dmax <= 111),"[0, 2, 3, 4, 1]",4,"[45.0, 45.0, 45.0, 45.0]",180.0,26.89687126844163,0.8804949020983979,39.052794501923614,True,True
